Store,X,Y,Cluster
0,-0.31307888545669643,1.5498297862371235,0
1,-2.804715337242583,0.5389379572528142,1
2,-2.9941262662038572,-0.5858969578667631,1
3,3.180595014170598,-1.7091812449480486,0
4,0.953936468609327,1.7180319645864912,0
5,-2.2798332760200277,2.8105991267537136,1
6,-1.3375786988335647,-1.0058349425166067,1
7,-2.3206438196261727,-1.1703826039966336,1
8,-1.7451099172525977,-1.4649650533138698,1
9,0.05453619318474692,-0.44269325640681106,1
10,-3.032954548213962,-0.8655541152435352,1
11,-0.9478339600094904,-0.40303589596174766,1
12,2.4348898091907087,-0.36632543069316026,0
13,-0.5922308737128911,-1.5264899421094191,1
14,2.305272969927833,0.7603889543968309,0
15,-2.3386577235907047,-1.2243728855509375,1
16,2.327237291173023,-0.32032478400478076,0
17,1.9362773723852715,4.572487831306248,0
18,2.0810395434428104,-1.4605606601854848,0
19,3.4874543801868536,0.7193369975265369,0
20,-2.415846429574595,-1.78242383819691,1
21,-0.04080970253779922,1.9977206153082983,0
22,-5.331197846728168,4.091383960932381,1
23,-0.29762935115367245,-0.4614050574913187,1
24,4.583334796981579,-2.3261987955852073,0
25,0.2262191506315873,0.7835809293775583,1
26,-0.8628646825653117,-0.04332352604624378,1
27,1.259878275909151,2.5600057339332816,0
28,1.8565933968509722,2.0931651652815866,0
29,-0.7042253688996096,-2.1943550669785075,1
30,0.7323296684427756,-2.830966854477638,0
31,2.6295588243673116,1.3040888086043354,0
32,2.677379896136674,1.5789813194506648,0
33,-2.366911259668129,0.33596063068247756,1
34,-3.8109915896654343,2.9591279836994113,1
35,-0.06021137882915641,-0.8466334735827911,1
36,2.237099655386315,-0.12232390203132112,0
37,-0.1635464469373391,-0.8125254873644063,1
38,1.3875469684087685,-1.4659302106626897,0
39,-2.7879622076929915,1.3682861184934612,1
40,1.0031536833700714,-0.6329303126269309,0
41,-2.0153242900998403,-1.224102411499773,1
42,-2.2609195220619602,-2.525818915769002,1
43,-2.280449618990161,1.1225787786936476,1
44,1.4332028027067245,2.8741855800008542,0
45,1.1882266532302004,-2.1664748141773895,0
46,2.2341432804656085,-2.001926737374091,0
47,1.6125942475485364,2.5563339095311086,0
48,-3.497870086816245,1.2925873094396336,1
49,0.49668851800606256,-3.805605678002073,0
50,1.684524367081351,4.683729710361192,0
51,2.5687386999274993,-2.1408790501832513,0
52,0.7344520276845301,0.8918155972261976,0
53,-1.3994621590889136,-0.6020764515327056,1
54,-1.1158550399586267,1.3351171659920842,1
55,-2.1824268980736696,0.6564555636195675,1
56,-2.415858556617714,-1.883463775540107,1
57,0.6423779337045256,0.1051147478019225,0
58,-2.284791458409887,-1.6881783427059027,1
59,2.997183182637835,0.5626776123872648,0
60,-2.0339709089760194,-2.388011270948633,1
61,-1.5223548025401272,-1.96496776603007,1
62,-0.6574650618414071,-0.8453647641965629,1
63,1.7648167112589033,-0.3784909232980005,0
64,3.7252222994552664,0.4037918566177228,0
65,0.24590072450588302,-0.16741088555028213,0
66,-0.7491988760121512,-1.1282574532422132,1
67,-1.0555764903205658,-0.10670190722403922,1
68,-3.381030566706408,-0.21320041148631239,1
69,-0.10385669296112339,3.141156775591865,0
70,-0.1453741925358581,-3.831779910431599,0
71,-2.934736533127332,1.2592382713728534,1
72,2.186478367507825,0.0756048835101829,0
73,2.8728887813280783,1.8286995906952626,0
74,1.8578246901278468,0.35275994080349515,0
75,-0.8472709168928374,1.3929242567551887,0
76,-1.4592202828889906,0.24492873992343722,1
77,0.9467639951084375,1.8972100196921866,0
78,-0.42549314706788066,2.111041199895013,0
79,-0.532403649404439,0.21062852672423496,1
80,0.588281350839121,-0.4660960972529639,1
81,-1.0613914092816665,-0.4117155334955523,1
82,2.2120215727122425,-1.8622275398273729,0
83,-0.6858992461787703,-2.2808995028453185,1
84,-1.5557850952738692,-2.133201790771551,1
85,2.3689584182249668,0.5241920632211292,0
86,-3.635716423060926,0.5722710943848877,1
87,2.0904973356607184,1.3179525253030595,0
88,1.2272875331936786,-2.23229576068459,0
89,1.4709299323751364,1.3814824388815043,0
90,-0.7815255310520064,0.6643883406995885,1
91,2.224044872989398,-2.396363134515378,0
92,-2.0271420146595838,4.326163526884877,1
93,-0.11531616525590413,-0.44711829516968715,0
94,2.272059024958877,0.16395038488320535,0
95,-1.5943521778974212,-2.3384610676468585,1
96,2.1640809268642687,-0.8109673167752294,0
97,2.7754228004998867,1.2729348352863312,0
98,-0.7473042446637324,-2.0100559473615687,1
99,1.1143572197710083,1.5529186233771346,0
